ts,window_start,window_end,label,confidence,pkts_per_sec,unique_dst_ports,avg_len,tcp_ratio,syn_ratio,source
2025-11-15T19:25:02.439064,1763234700.4172075,1763234702.4390247,normal,0.0,0.0,0,0.0,0.0,0.0,heuristic
2025-11-15T19:25:04.468716,1763234702.4390247,1763234704.4684825,normal,0.0,0.0,0,0.0,0.0,0.0,heuristic
2025-11-15T19:25:06.478039,1763234704.4684825,1763234706.4779994,normal,0.0,0.0,0,0.0,0.0,0.0,heuristic
2025-11-15T19:25:08.502850,1763234706.4779994,1763234708.502816,normal,0.0,0.0,0,0.0,0.0,0.0,heuristic
2025-11-15T19:25:10.550552,1763234708.502816,1763234710.5505111,normal,0.0,0.0,0,0.0,0.0,0.0,heuristic
2025-11-15T19:25:12.578222,1763234710.5505111,1763234712.5781775,normal,0.0,0.0,0,0.0,0.0,0.0,heuristic
2025-11-15T19:25:14.623690,1763234712.5781775,1763234714.6236498,normal,0.0,0.0,0,0.0,0.0,0.0,heuristic
2025-11-15T19:25:16.660467,1763234714.6236498,1763234716.660427,normal,0.0,0.0,0,0.0,0.0,0.0,heuristic
2025-11-15T19:25:18.695222,1763234716.660427,1763234718.6951847,normal,0.0,0.0,0,0.0,0.0,0.0,heuristic
2025-11-15T19:25:20.732810,1763234718.6951847,1763234720.7327735,normal,0.0,0.0,0,0.0,0.0,0.0,heuristic
2025-11-15T19:25:22.767299,1763234720.7327735,1763234722.767259,normal,0.0,0.0,0,0.0,0.0,0.0,heuristic
2025-11-15T19:25:24.795684,1763234722.767259,1763234724.7956436,normal,0.0,0.0,0,0.0,0.0,0.0,heuristic
2025-11-15T19:25:26.840110,1763234724.7956436,1763234726.8400722,normal,0.0,0.0,0,0.0,0.0,0.0,heuristic
2025-11-15T19:25:28.889904,1763234726.8400722,1763234728.889864,normal,0.0,0.0,0,0.0,0.0,0.0,heuristic
2025-11-15T19:25:30.940637,1763234728.889864,1763234730.940598,normal,0.0,0.0,0,0.0,0.0,0.0,heuristic
2025-11-15T19:25:32.980703,1763234730.940598,1763234732.9806635,normal,0.0,0.0,0,0.0,0.0,0.0,heuristic
2025-11-15T19:25:35.017186,1763234732.9806635,1763234735.0171452,normal,0.0,0.0,0,0.0,0.0,0.0,heuristic
2025-11-15T19:25:37.127065,1763234735.0171452,1763234737.1270235,normal,0.0,0.0,0,0.0,0.0,0.0,heuristic
2025-11-15T19:25:39.243480,1763234737.1270235,1763234739.2350597,normal,0.0,3.795001099896005,0,98.0,0.0,0.0,heuristic
